Member_ID,Name,Age,Business_Type,Monthly_Income,Loan_Amount,Loan_Term_Months,Credit_Score,Repayment_Status,Borrower_Reliability
MBR1000,Member_1,24,Services,33643,65160,6,523,On-Time,Low
MBR1001,Member_2,37,Retail,29736,46975,12,538,On-Time,Low
MBR1002,Member_3,32,Other,28328,14540,24,476,On-Time,Low
MBR1003,Member_4,28,Agriculture,30876,21364,6,581,Delayed,Medium
MBR1004,Member_5,25,Services,26295,9611,18,362,On-Time,Low
MBR1005,Member_6,38,Retail,8987,32663,18,516,On-Time,Low
MBR1006,Member_7,24,Agriculture,27399,56991,6,760,On-Time,High
MBR1007,Member_8,43,Agriculture,38986,62679,6,404,On-Time,Low
MBR1008,Member_9,36,Manufacturing,25880,35977,24,398,Delayed,Low
MBR1009,Member_10,40,Other,9735,99704,24,810,On-Time,High
MBR1010,Member_11,28,Services,9555,54115,12,684,On-Time,Medium
MBR1011,Member_12,28,Retail,24830,96007,24,704,Defaulted,High
MBR1012,Member_13,41,Manufacturing,22429,93223,18,817,Delayed,High
MBR1013,Member_14,38,Other,11893,65890,18,775,On-Time,High
MBR1014,Member_15,21,Manufacturing,19373,71387,6,736,On-Time,High
MBR1015,Member_16,25,Other,8436,23071,24,322,On-Time,Low
MBR1016,Member_17,41,Other,13754,64275,12,757,On-Time,High
MBR1017,Member_18,20,Services,15677,77369,18,382,On-Time,Low
MBR1018,Member_19,39,Other,10895,16938,18,444,On-Time,Low
MBR1019,Member_20,38,Manufacturing,24738,40195,12,384,On-Time,Low
MBR1020,Member_21,19,Other,35746,96680,12,377,On-Time,Low
MBR1021,Member_22,41,Services,37352,9000,18,756,Delayed,High
MBR1022,Member_23,29,Services,10600,75588,18,300,On-Time,Low
MBR1023,Member_24,23,Manufacturing,34124,98610,12,350,On-Time,Low
MBR1024,Member_25,19,Agriculture,32643,43304,18,745,On-Time,High
MBR1025,Member_26,38,Agriculture,14007,74449,6,748,Defaulted,High
MBR1026,Member_27,18,Other,13208,87986,6,787,On-Time,High
MBR1027,Member_28,29,Retail,23589,94643,12,333,On-Time,Low
MBR1028,Member_29,43,Other,22453,25764,24,647,Defaulted,Medium
MBR1029,Member_30,39,Manufacturing,37635,91027,12,394,Delayed,Low
MBR1030,Member_31,29,Manufacturing,38828,43494,12,371,Delayed,Low
MBR1031,Member_32,42,Manufacturing,23711,8373,24,453,On-Time,Low
MBR1032,Member_33,34,Manufacturing,8420,17161,24,549,On-Time,Low
MBR1033,Member_34,44,Manufacturing,36216,97658,24,737,Delayed,High
MBR1034,Member_35,44,Services,5301,32350,6,417,Defaulted,Low
MBR1035,Member_36,27,Agriculture,5699,98008,18,605,On-Time,Medium
MBR1036,Member_37,33,Manufacturing,5190,99297,6,567,On-Time,Medium
MBR1037,Member_38,32,Retail,15492,30351,18,353,On-Time,Low
MBR1038,Member_39,32,Retail,11102,93668,6,535,Delayed,Low
MBR1039,Member_40,36,Retail,24778,20305,18,688,On-Time,Medium
MBR1040,Member_41,29,Retail,31641,80353,6,700,On-Time,High
MBR1041,Member_42,40,Services,39584,81797,24,602,On-Time,Medium
MBR1042,Member_43,37,Retail,37745,70953,12,506,On-Time,Low
MBR1043,Member_44,42,Manufacturing,28093,62458,6,528,On-Time,Low
MBR1044,Member_45,20,Other,5569,25358,18,374,On-Time,Low
MBR1045,Member_46,22,Retail,39663,8267,24,734,Delayed,High
MBR1046,Member_47,36,Services,12455,87745,6,402,On-Time,Low
MBR1047,Member_48,24,Services,9014,94588,6,721,On-Time,High
MBR1048,Member_49,38,Retail,16093,43513,24,605,On-Time,Medium
MBR1049,Member_50,26,Other,23070,31092,6,397,On-Time,Low
MBR1050,Member_51,24,Retail,21538,16338,12,634,On-Time,Medium
MBR1051,Member_52,35,Services,15729,5412,6,734,On-Time,High
MBR1052,Member_53,21,Agriculture,39177,12543,12,746,On-Time,High
MBR1053,Member_54,42,Manufacturing,5784,38496,12,607,On-Time,Medium
MBR1054,Member_55,31,Services,32751,65692,24,548,On-Time,Low
MBR1055,Member_56,35,Retail,17533,94084,6,465,Defaulted,Low
MBR1056,Member_57,43,Manufacturing,10801,97920,24,780,On-Time,High
MBR1057,Member_58,26,Retail,24190,49425,6,634,Delayed,Medium
MBR1058,Member_59,43,Retail,34592,43756,6,841,On-Time,High
MBR1059,Member_60,38,Agriculture,15647,23888,18,405,Delayed,Low
MBR1060,Member_61,19,Manufacturing,13716,40735,6,380,Delayed,Low
MBR1061,Member_62,37,Manufacturing,28355,52295,24,432,On-Time,Low
MBR1062,Member_63,32,Agriculture,27009,88042,12,437,On-Time,Low
MBR1063,Member_64,24,Services,29376,90999,6,483,On-Time,Low
MBR1064,Member_65,29,Retail,9780,22955,18,700,On-Time,High
MBR1065,Member_66,25,Other,7368,42841,24,629,Defaulted,Medium
MBR1066,Member_67,32,Retail,17039,75640,6,807,Delayed,High
MBR1067,Member_68,20,Retail,11655,70510,24,368,Defaulted,Low
MBR1068,Member_69,31,Services,9495,39911,18,845,On-Time,High
MBR1069,Member_70,34,Retail,15893,64031,18,352,Delayed,Low
MBR1070,Member_71,21,Agriculture,30547,93726,24,749,Defaulted,High
MBR1071,Member_72,35,Agriculture,27386,12357,6,504,On-Time,Low
MBR1072,Member_73,25,Manufacturing,18403,37479,12,425,On-Time,Low
MBR1073,Member_74,21,Other,37097,66476,18,342,Delayed,Low
MBR1074,Member_75,19,Retail,18121,49811,6,410,On-Time,Low
